Word, Count
the, 4552
and, 3801
for, 1365
..., 1047
financial, 896
are, 887
with, 852
will, 829
their, 705
that, 650
customers, 583
identity, 569
from, 547
institutions, 528
data, 523
services, 486
market, 477
more, 454
have, 423
platforms, 423
new, 421
digital, 399
customer, 380
key, 367
information, 360
world, 354
can, 351
bank, 346
products, 336
insurance, 329
traditional, 322
alternative, 304
investors, 302
payment, 300
investment, 296
banks, 285
economic, 279
2016, 274
forum, 273
payments, 273
risk, 270
not, 269
uncertainties, 267
capital, 263
implications, 263
this, 261
end, 252
may, 249
how, 248
access, 246
value, 241
systems, 241
findings, 239
through, 235
providers, 234
management, 231
lending, 228
these, 226
insurers, 224
transactions, 223
processes, 222
future, 211
system, 211
provide, 210
they, 206
dlt, 203
potential, 201
technology, 199
would, 198
regulatory, 197
process, 195
scenario, 195
has, 192
use, 192
opportunities, 189
risks, 187
business, 184
states, 183
intermediaries, 183
regulators, 182
users, 181
into, 179
large, 179
solutions, 177
introduction, 177
all, 175
incumbents, 174
user, 173
conclusion, 172
asset, 172
become, 169
global, 166
what, 162
need, 160
smart, 158
fis, 158
equity, 157
platform, 156
many, 152
between, 152
models, 150
service, 149
its, 148
transfer, 148
over, 147
infrastructure, 147
trading, 147
e.g., 146
industry, 145
credit, 144
automated, 141
funding, 141
other, 140
markets, 140
within, 139
individual, 138
ecosystem, 136
case, 136
transaction, 135
attributes, 135
firms, 134
banking, 133
across, 133
online, 133
which, 132
must, 132
time, 131
product, 128
entities, 127
ability, 127
increased, 125
needs, 121
such, 120
wealth, 120
role, 119
mobile, 119
scale, 117
assets, 117
but, 116
who, 115
where, 115
distributed, 115
costs, 114
investor, 114
based, 113
deloitte, 112
crowdfunding, 112
impact, 111
critical, 111
focus, 111
sources, 110
core, 109
different, 109
trade, 109
contract, 109
allow, 108
network, 107
lenders, 107
activities, 106
state, 106
project, 105
e.g, 105
capabilities, 104
some, 104
cost, 104
offer, 104
benefits, 104
high, 103
due, 103
distribution, 103
number, 103
development, 101
experience, 100
additional, 100
schemes, 100
also, 99
lead, 98
via, 98
conditions, 98
money, 98
them, 97
retrieved, 96
individuals, 95
while, 95
shift, 94
compliance, 94
funds, 94
control, 94
innovation, 93
settlement, 93
increasing, 92
loan, 91
could, 91
one, 90
create, 90
underwriting, 90
summary, 90
improve, 89
retail, 88
gain, 88
group, 87
increase, 87
limited, 86
able, 86
managers, 86
directly, 86
loss, 85
fintechs, 85
innovations, 85
emerging, 85
competitive, 85
