CA            ,1290
IL            ,733
CO            ,2093
TX            ,6869
AZ            ,1014
NY            ,216
IN            ,111
OH            ,132
,10
MA            ,114
OR            ,30
WA            ,237
LA            ,50
FL            ,163
GA            ,100
CT            ,110
PA            ,90
AK            ,27
MN            ,117
VA            ,137
TN            ,30
SC            ,30
MD            ,90
NE            ,30
NJ            ,170
MI            ,70
IA            ,30
RI            ,30
ME            ,30
KY            ,20
WI            ,20
VT            ,20
NC            ,164
AL            ,20
NM            ,20
CA            ,1290
IL            ,733
CO            ,2093
TX            ,6869
AZ            ,1014
NY            ,216
IN            ,111
OH            ,132
,10
MA            ,114
OR            ,30
WA            ,237
LA            ,50
FL            ,163
GA            ,100
CT            ,110
PA            ,90
AK            ,27
MN            ,117
VA            ,137
TN            ,30
SC            ,30
MD            ,90
NE            ,30
NJ            ,170
MI            ,70
IA            ,30
RI            ,30
ME            ,30
KY            ,20
WI            ,20
VT            ,20
NC            ,164
AL            ,20
NM            ,20
