,Bank Name,Job Title,URL (URL of the job posting),FinTech Score,Non-Fintech Score,Admin_Clerical_HR - Sheet1,Audit and Finance,Business Intelligence and Analysis,Data Analytics and Machine Learning,"Marketing , Sales and management",Network and Cyber Security,Softwrae Development,_Investment and risk management__ - Sheet1
0,"﻿""BNY Mellon	""""Full Stack Specialist Developer ‰ÛÒ Middle Office Technology""",,,0,0,0,0,0,0,0,0,0,0
0,åÊ,,,0,0,0,0,0,0,0,0,0,0
0,Full stack developer to work within agile software development practice delivering financial software globally. In this role,testing and deploying microservices to help build a world class software engineering capability within the Middle Office Technology Group.,,0,0,0,0,0,0,0,0,0,0
0,åÊ,,,0,0,0,0,0,0,0,0,0,0
0,Job responsibilities and opportunities:,,,0,0,0,0,0,0,0,0,0,0
0,,,,0,0,0,0,0,0,0,0,0,0
0,Work within a scrum team of 3-6 people highly focused on service delivery.,,,0,0,0,0,0,0,0,0,0,0
0,Participate in the design of scalable,,,0,0,0,0,0,0,0,0,0,0
0,Learn the tools and languages used by the scrum team as needed.,,,0,0,0,0,0,0,0,0,0,0
0,Represent the software in design and code reviews with senior staff.,,,0,0,0,0,0,0,0,0,0,0
0,Own development and delivery of one or more microservices.,,,0,0,0,0,0,0,0,0,0,0
0,Improve our software delivery capabilities via automation and repeatability.,,,0,0,0,0,0,0,0,0,0,0
0,Develop subject matter expertise in one or more functional areas and act as a subject matter expert within the team and for a broader audience.,,,0,0,0,0,0,0,0,0,0,0
0,Help the tech leadership team shape best practices for developing,,,0,1,0,0,1,0,0,0,0,0
0,Develop code that meets the organizational goals for scalability,,,0,0,0,0,0,0,0,0,0,0
0,Coordinate with internal and external technology teams as needed for end to end service delivery.,,,0,0,0,0,0,0,0,0,0,0
0,Consult and collaborate with other technologists to leverage and contribute to reusable code and services. Qualifications Requirements:,,,0,0,0,0,0,0,0,0,0,0
0,åáåÊåÊåÊåÊåÊåÊåÊ Bachelor's degree in computer science engineering or a related discipline,6-8 years of experience in software development required,experience in the securities or financial services industry is a plus.åÊ ,0,0,0,0,0,0,0,0,0,0
0,åáåÊåÊåÊåÊåÊåÊåÊ Provable contributions in software projects,C# or Python,but strong preference given to Ruby and Ruby on Rails experience.,0,1,0,0,1,0,0,0,0,0
0,,,,0,0,0,0,0,0,0,0,0,0
0,Active participation in open source community with contributions to one or more projects,,,0,0,0,0,0,0,0,0,0,0
0,Knowledge of the principles of test driven development and agile software development process,,,0,0,0,0,0,0,0,0,0,0
0,Knowledge of orchestration of microservices in an elastic container-based cloud environment a plus,,,0,0,0,0,0,0,0,0,0,0
0,åÊ,,,0,0,0,0,0,0,0,0,0,0
0,Technical Skills:,,,0,0,0,0,0,0,0,0,0,0
0,Our current stack includes Ruby,Active Record,RSpec,0,0,0,0,0,0,0,0,0,0
0,åÊ For over 230 years,expanding the financial markets while supporting investors throughout the investment lifecycle. BNY Mellon can act as a single point of contact for clients looking to create,trade,0,0,0,0,0,0,0,0,0,0
0,"BNY Mellon	""Full Stack Sr. Specialist Developer ‰ÛÒ Middle Office Technology",,,0,0,0,0,0,0,0,0,0,0
0,åÊ,,,0,0,0,0,0,0,0,0,0,0
0,Full stack developer to work within agile software development practice delivering financial software globally. In this role,testing and deploying microservices to help build a world class software engineering capability within the Middle Office Technology Group.,,0,0,0,0,0,0,0,0,0,0
0,åÊ,,,0,0,0,0,0,0,0,0,0,0
0,Job responsibilities and opportunities:,,,0,0,0,0,0,0,0,0,0,0
0,,,,0,0,0,0,0,0,0,0,0,0
0,Work within a scrum team of 3-6 people highly focused on service delivery.,,,0,0,0,0,0,0,0,0,0,0
0,Participate in the design of scalable,,,0,0,0,0,0,0,0,0,0,0
0,Learn the tools and languages used by the scrum team as needed.,,,0,0,0,0,0,0,0,0,0,0
0,Represent the software in design and code reviews with senior staff.,,,0,0,0,0,0,0,0,0,0,0
0,Own development and delivery of one or more microservices.,,,0,0,0,0,0,0,0,0,0,0
0,Improve our software delivery capabilities via automation and repeatability.,,,0,0,0,0,0,0,0,0,0,0
0,Develop subject matter expertise in one or more functional areas and act as a subject matter expert within the team and for a broader audience.,,,0,0,0,0,0,0,0,0,0,0
0,Help the tech leadership team shape best practices for developing,,,0,1,0,0,1,0,0,0,0,0
0,Develop code that meets the organizational goals for scalability,,,0,0,0,0,0,0,0,0,0,0
0,Coordinate with internal and external technology teams as needed for end to end service delivery.,,,0,0,0,0,0,0,0,0,0,0
0,Consult and collaborate with other technologists to leverage and contribute to reusable code and services. Qualifications Requirements:,,,0,0,0,0,0,0,0,0,0,0
0,åáåÊåÊåÊåÊåÊåÊåÊ Bachelor's degree in computer science engineering or a related discipline,8-10 years of experience in software development required,experience in the securities or financial services industry is a plus.,0,0,0,0,0,0,0,0,0,0
0,åáåÊåÊåÊåÊåÊåÊåÊ Provable contributions in software projects,C# or Python,but strong preference given to Ruby and Ruby on Rails experience.,0,1,0,0,1,0,0,0,0,0
0,,,,0,0,0,0,0,0,0,0,0,0
0,Active participation in open source community with contributions to one or more projects,,,0,0,0,0,0,0,0,0,0,0
0,Knowledge of the principles of test driven development and agile software development process,,,0,0,0,0,0,0,0,0,0,0
0,Knowledge of orchestration of microservices in an elastic container-based cloud environment a plus,,,0,0,0,0,0,0,0,0,0,0
0,åÊ,,,0,0,0,0,0,0,0,0,0,0
0,Technical Skills:,,,0,0,0,0,0,0,0,0,0,0
0,Our current stack includes Ruby,Active Record,RSpec,0,0,0,0,0,0,0,0,0,0
0,åÊ For over 230 years,expanding the financial markets while supporting investors throughout the investment lifecycle. BNY Mellon can act as a single point of contact for clients looking to create,trade,0,0,0,0,0,0,0,0,0,0
0,"BNY Mellon	"" Team and the new",,,0,0,0,0,0,0,0,0,0,0
0,generation platform ,,,0,0,0,0,0,0,0,0,0,0
0,The Clearance and Collateral Technology (CCT) group is responsible,,,0,0,0,0,0,0,0,0,0,0
0,for building technology to support three of the most critical services of BNY,,,0,0,0,0,0,0,0,0,0,0
0,Mellon - US Government Securities Clearance,,,0,0,0,0,0,0,0,0,0,0
0,Collateral Management. These platforms are responsible for clearing and settling,,,0,0,0,0,0,0,0,0,0,0
0,equity and fixed-income transactions in markets around the globe,,,0,0,0,0,0,0,0,0,0,0
0,more than $3 trillion in global collateral.,,,0,0,0,0,0,0,0,0,0,0
0,åÊ,,,0,0,0,0,0,0,0,0,0,0
0,The group is building solutions to help our clients in,,,0,0,0,0,0,0,0,0,0,0
0,collateral sourcing,,,0,0,0,0,0,0,0,0,0,0
0,transaction processing. Our collateral optimizer was the finalist in the Franz,,,0,0,0,0,0,0,0,0,0,0
0,Edelman Award ‰ÛÒ considered the highest honor in Operations Research. To meet,,,0,0,0,0,0,0,0,0,0,0
0,new market challenges and provide new functionality to our clients,,,0,0,0,0,0,0,0,0,0,0
0,is working on building the next generation collateral platform. The new,,,0,0,0,0,0,0,0,0,0,0
0,platform will be mission-critical,high-availability,and,0,0,0,0,0,0,0,0,0,0
0,will include big-data,,,0,1,0,1,0,0,0,0,0,0
0,åÊ,,,0,0,0,0,0,0,0,0,0,0
0,The work environment is fast-paced with very high levels of,,,0,0,0,0,0,0,0,0,0,0
0,collaboration with global product managers (London & New York). ,,,0,0,0,0,0,0,0,0,0,0
0,åÊ,,,0,0,0,0,0,0,0,0,0,0
0,Role,,,0,0,0,0,0,0,0,0,0,0
0,We are looking for strong developers who are excited about,,,0,0,0,0,0,0,0,0,0,0
0,building this next generation system. They will have the unique opportunity to,,,0,0,0,0,0,0,0,0,0,0
0,build a sophisticated high performance capital markets system using the latest,,,0,0,0,0,0,0,0,0,0,0
0,technology stack and best software engineering practices. They will become the,,,0,0,0,0,0,0,0,0,0,0
