,Bank Name,Job Title,URL (URL of the job posting),FinTech Score,Non-Fintech Score,Admin_Clerical_HR - Sheet1,Audit and Finance,Business Intelligence and Analysis,Data Analytics and Machine Learning,"Marketing , Sales and management",Network and Cyber Security,Softwrae Development,_Investment and risk management__ - Sheet1
0,"﻿""Bank Of America	""""Job Description:The Cyber Security Defense (CSD) function within Global Information Security is responsible for all aspects of threat intelligence and monitoring""",and insider threat. In addition,the CSD team drives out the enterprise-wide cyber exercise program.The Senior Manager is responsible for helping to define,1,1,0,0,0,0,1,1,0,0
0,"Bank Of America	""Job Description:The Cyber Security Defense (CSD) function within Global Information Security is responsible for all aspects of threat intelligence and monitoring",and insider threat. In addition,the CSD team drives out the enterprise-wide cyber exercise program.The Senior Manager is responsible for helping to define,1,1,0,0,0,0,1,1,0,0
0,"Bank Of America	""Job Description:The Cyber Security Technology (CST) function within Global Information Security is responsible for innovation and architecture",solutions and capabilities development,deployment maintenance and support of information technology security controls. The CST team is also responsible for the management of the program/project management teams.As an Agile Product Owner,0,0,0,0,0,0,0,0,0,0
0,"Bank Of America	""Job Description:As a Sr. Cyber Security Agile Product Owner",testers and business analysts that partner closely with operational & technology stakeholders & resources throughout the cyber security defense & cyber security technology teams to deliver against software & technology roadmaps and value streams. You also will identify,map and understand the operational processes as well as areas of improvement and incorporate those learnings into the overall delivery of products & services.Â  The successful candidate will be directly involved in and lead the delivery of large-scale software projects as well as incremental changes to an existing software portfolio. The successful candidate must be able to meet the demands associated with a distributed team and stakeholders,0,1,0,1,0,0,0,0,0,0
0,"Bank Of America	""Job Description:Relationship bankers (RBs) are located in the financial center and are responsible for assisting and educating customers on self-service banking options (for example",online,ATM) and building and deepening customer relationships. RBs are also trained in cash transactions and may be asked to process these transactions both accurately and efficiently when needed.Â Primary Responsibilities:Â Â  â€¢Engage customers in the lobby to assist,0,0,0,0,0,0,0,0,0,0
0,Bank Of America	Job Description:	business-control-manager	http://careers.bankofamerica.com/job-detail/19000069/united-states/us/business-control-manager,,,0,0,0,0,0,0,0,0,0,0
0,Bank Of America	Job Description:	business-control-manager	http://careers.bankofamerica.com/job-detail/19000069/united-states/us/business-control-manager,,,0,0,0,0,0,0,0,0,0,0
0,"Bank Of America	""Job Description:Role collaborates with Global Information Security (GIS) Policy subject matter experts",business stakeholders,and other GT&O accountable parties in the course of GIS Governance & Policy work. Responsible for coordinating projects,0,0,0,0,0,0,0,0,0,0
0,"Bank Of America	""Job Description:Role collaborates with Global Information Security (GIS) Policy subject matter experts",business stakeholders,and other GT&O accountable parties in the course of GIS Governance & Policy work. Responsible for coordinating projects,0,0,0,0,0,0,0,0,0,0
0,"Bank Of America	""Job Description:Provides technical and analytical support in a global markets operations function for one or more operations product areas. Responsible for the analysis and resolution of complex operations problems and initiatives requiring exceptional handling and/or coordination of multiple operational and/or product specialists to resolve. May manage projects and/or the introduction of new initiatives",products/services and processes,coordinating necessary expertise across multiple operations functions and/or products. As a technical expert,0,0,0,0,0,0,0,0,0,0
